,date,mkt_rf,smb,hml,cma,rf,returns_percentage,monthly_return_percentage,cumulative_monthly_return_percentage
0,2018-02,-3.65,0.31,-1.07,-2.39,0.11,,,
1,2018-03,-2.35,3.58,-0.23,0.0,0.11,5.731755907654626,1.004776463256379,1.004776463256379
2,2018-04,0.28,0.93,0.54,1.27,0.14,1.524889013660311,1.001270740844717,1.0060532737480492
3,2018-05,2.65,4.74,-3.18,-1.47,0.14,-11.564189570860814,0.990363175357616,0.9963581147680429
4,2018-06,0.48,0.81,-2.33,0.24,0.14,0.5629885652972476,1.0004691571377478,0.9968255632893392
5,2018-07,3.19,-1.93,0.47,0.35,0.16,-2.7221684783640834,0.99773152626803,0.9945642906836611
6,2018-08,3.44,0.63,-3.99,-2.65,0.16,-16.40381739157498,0.9863301521736875,0.980968748176531
7,2018-09,0.06,-2.49,-1.69,1.3,0.15,0.48484618484945274,1.0004040384873745,0.9813650973057059
8,2018-10,-7.68,-4.45,3.44,3.59,0.19,3.1435718437664932,1.0026196432031387,0.9839359237126603
9,2018-11,1.69,-0.77,0.27,0.37,0.18,22.5557160839008,1.0187964300699173,1.0024304064960048
10,2018-12,-9.57,-2.88,-1.86,0.22,0.2,12.817938091634803,1.0106816150763622,1.0131379822390365
11,2019-01,8.4,3.02,-0.45,-1.51,0.21,-5.2271015164670604,0.9956440820696107,1.008724836336243
12,2019-02,3.4,1.74,-2.68,-1.6,0.18,-3.8752546247896578,0.9967706211460087,1.005467281680283
13,2019-03,1.1,-3.5,-4.1,-0.96,0.19,-9.23369262593936,0.9923052561450505,0.9977304684932209
14,2019-04,3.97,-1.17,2.14,-2.2,0.21,-5.342093487950015,0.9955482554267083,0.9932888272944984
15,2019-05,-6.94,-1.58,-2.34,1.75,0.21,14.62271412191062,1.0121855951015921,1.0053926427628443
16,2019-06,6.93,0.36,-0.72,-0.43,0.18,-11.884400433457968,0.9900963329721184,0.9954355687966392
17,2019-07,1.19,-1.78,0.47,0.37,0.19,-7.09726280779988,0.9940856143268334,0.9895481789299879
18,2019-08,-2.58,-3.23,-4.76,-0.69,0.16,2.0599743886426567,1.0017166453238688,0.991246882184091
19,2019-09,1.43,0.27,6.74,3.36,0.18,-7.152774706806099,0.9940393544109949,0.9853384108281853
20,2019-10,2.06,0.26,-1.92,-0.96,0.16,-9.965431844464966,0.9916954734629458,0.9771556418474838
21,2019-11,3.87,0.44,-2.01,-1.25,0.12,-6.918625715327548,0.9942344785705604,0.9715218300545143
22,2019-12,2.77,0.97,1.76,1.23,0.14,-9.262703154091014,0.9922810807049242,0.9640227314549191
23,2020-01,-0.11,-4.37,-6.22,-2.32,0.13,-5.124239715061917,0.9957298002374484,0.959906161815966
24,2020-02,-8.13,0.03,-3.79,-2.51,0.12,13.224345589801331,1.0110202879915011,0.9704846041639944
25,2020-03,-13.39,-8.31,13.97,1.26,0.13,7.244779751788213,1.0060373164598235,0.9763437268387191
26,2020-04,13.65,2.59,-1.23,-1.01,0.0,-13.44793347727987,0.9887933887689334,0.9654022222641468
27,2020-05,5.58,1.98,-4.89,-3.25,0.01,-7.592625608508306,0.9936728119929098,0.959293940901419
28,2020-06,2.46,1.97,-2.17,0.53,0.01,-13.08067989164349,0.9890994334236304,0.948837093432315
29,2020-07,5.77,-3.2,-1.38,0.96,0.01,-14.172792734353443,0.9881893393880388,0.9376307005457463
30,2020-08,7.63,-0.89,-2.95,-1.2,0.01,-17.653434222258063,0.985288804814785,0.9238370322983679
31,2020-09,-3.63,0.02,-2.68,-1.89,0.01,11.223345261249548,1.009352787717708,0.9324774839472119
32,2020-10,-2.1,4.64,4.21,-0.76,0.01,6.384336045193437,1.0053202800376613,0.9374385252906248
33,2020-11,12.47,7.12,2.14,1.37,0.01,-8.559436810446249,0.9928671359912948,0.9307519037732056
34,2020-12,4.63,4.79,-1.51,-0.11,0.01,-10.43411121912117,0.9913049073173991,0.9226589297053903
35,2021-01,-0.03,6.91,2.96,4.9,0.01,0.553176864353595,1.0004609807202947,0.9230842576833922
36,2021-02,2.78,4.53,7.18,-1.94,0.0,8.824037297058437,1.0073533644142154,0.9298720326151637
37,2021-03,3.08,-0.86,7.4,3.41,0.0,-0.8767262658757133,0.9992693947784369,0.9291926632527496
38,2021-04,4.93,-3.15,-0.94,-2.69,0.0,-7.082017243947552,0.9940983189633771,0.9237088645326618
39,2021-05,0.29,1.23,7.08,3.01,0.0,5.497151843306868,1.0045809598694224,0.9279403377721156
40,2021-06,2.75,-0.34,-7.82,-0.95,0.0,-9.171506691293306,0.9923570777572556,0.9208481619246173
41,2021-07,1.27,-4.62,-1.76,-0.48,0.0,-6.101727397388357,0.9949152271688431,0.9161658582092421
42,2021-08,2.91,-0.67,-0.16,-1.76,0.0,-3.9320264427673215,0.9967233112976939,0.9131638678922093
43,2021-09,-4.37,1.14,5.08,2.14,0.0,7.139817331381937,1.0059498477761517,0.9185970539008498
44,2021-10,6.65,-2.7,-0.48,-1.44,0.0,-5.540721618809778,0.9953827319843251,0.9143556451045802
45,2021-11,-1.55,-1.76,-0.44,1.74,0.0,-9.376893033358298,0.9921859224722014,0.9072107992057528
46,2021-12,3.1,-0.77,3.28,4.43,0.01,-7.045613694220558,0.9941286552548162,0.9018842518470621
47,2022-01,-6.25,-4.05,12.75,7.71,0.0,1.5963069420630989,1.0013302557850525,0.9030839885905294
48,2022-02,-2.29,2.96,3.04,3.13,0.0,5.850284165741693,1.0048752368047849,0.9074867368895179
49,2022-03,3.05,-2.15,-1.8,3.17,0.01,-5.555301569591122,0.9953705820253407,0.9032856014779966
50,2022-04,-9.46,-0.4,6.19,5.92,0.01,10.7580201787816,1.0089650168156514,0.9113835720845826
51,2022-05,-0.34,-0.06,8.41,3.9799999999999995,0.03,5.919100502094211,1.004932583751745,0.9158790478838544
52,2022-06,-8.43,1.3,-5.97,-4.7,0.06,8.705113214337894,1.0072542610119481,0.9225230735525785
53,2022-07,9.57,1.8700000000000003,-4.1,-6.94,0.08,-15.869786665270277,0.9867751777789414,0.9103228699100211
54,2022-08,-3.7700000000000005,1.51,0.31,1.3,0.19,3.364706115534281,1.0028039217629452,0.9128753440162686
55,2022-09,-9.35,-1.0,0.03,-0.85,0.19,13.604868351567537,1.011337390292973,0.923224968080213
56,2022-10,7.83,1.8700000000000003,8.05,6.56,0.23000000000000004,-9.873486030157345,0.9917720949748688,0.9156287607260193
57,2022-11,4.6,-2.67,1.39,3.12,0.29,3.587101924704302,1.0029892516039203,0.918365805467615
